datetime,ip_src,ip_dst,port_dst,proto,action,rule_id,interface
2026-03-02 15:39:53,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 15:39:54,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 15:39:55,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 15:39:55,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,22.0,TCP,Permit,1.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,22.0,TCP,Permit,1.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,22.0,TCP,Permit,1.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,22.0,TCP,Permit,1.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,22.0,TCP,Permit,1.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,23.0,TCP,Permit,2.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,23.0,TCP,Permit,2.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,23.0,TCP,Permit,2.0,eth0
2026-03-02 15:39:55,192.168.107.6,192.168.107.5,23.0,TCP,Permit,2.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,21.0,TCP,Permit,3.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,21.0,TCP,Permit,3.0,eth0
2026-03-02 15:39:56,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,21.0,TCP,Permit,3.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,21.0,TCP,Permit,3.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,21.0,TCP,Permit,3.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,80.0,TCP,Permit,4.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,80.0,TCP,Permit,4.0,eth0
2026-03-02 15:39:56,192.168.107.6,192.168.107.5,80.0,TCP,Permit,4.0,eth0
